Year,Age,Team,Name,rink
2010,23, 두산,양의지,10165
2021,22, LG,이재원,13104
2005,24, SK,조동화,10121
2008,26, SK,정상호,10083
2022,22, 롯데,고승민,14160
2021,26, 롯데,배성근,13279
2021,24, 한화,김태연,12585
2020,25, 한화,노태형,11269
2016,29, SK,김재현,10111
2016,27, KT,전민수,10417
2017,23, SK,최항,10810
2019,20, NC,김형준,13081
2015,24, 롯데,오태곤,10249
2022,22, 두산,김대한,14170
2018,20, 롯데,나균안,12930
2017,21, 한화,이시원,12526
2015,20, KT,김민혁,11339
2020,21, 롯데,정보근,13154
2022,24, 키움,김수환,13096
2020,28, 키움,전병우,11422
2010,29, LG,김태완,10467
2017,29, 롯데,김동한,10734
2007,20, 현대,황재균,10407
2022,25, LG,문성주,13112
2016,27, 넥센,박정음,10866
2012,23, 두산,최재훈,10170
2018,30, 삼성,최영진,10934
2008,23, 두산,오재원,10178
2020,25, KT,배정대,11212
2013,24, 롯데,신본기,10840
2001,19, 한화,김태균,10552
2005,24, LG,박기남,10011
2020,27, 삼성,이성규,12562
2008,23, 삼성,박석민,10322
2022,29, NC,도태훈,12560
2019,27, 롯데,허일,10692
2018,25, 두산,조수행,12524
2015,24, LG,양석환,11213
2016,28, 삼성,백상원,10324
2013,27, KIA,이종환,10941
2018,27, KIA,박준태,11260
2012,23, 한화,양성우,10916
2014,26, 삼성,김헌곤,10640
2015,25, KIA,이홍구,11071
2022,26, NC,서호철,14220
2012,25, KIA,이준호,10703
2008,24, LG,박용근,10471
2007,23, 한화,김태완,10553
2016,22, 롯데,김준태,10835
2013,24, NC,나성범,11162
2020,27, LG,홍창기,12546
2014,25, 삼성,이흥련,11108
2013,28, 한화,이시찬,10654
2004,21, 한화,신종길,10031
2015,26, 롯데,김민하,10777
2008,23, KIA,나지완,10030
2020,28, SK,이현석,11369
2003,19, LG,박경수,10469
2002,22, KIA,이현곤,10022
2013,24, NC,이상호,11147
2015,23, 한화,주현상,11415
2012,26, 삼성,이지영,10312
2009,24, 삼성,이영욱,10342
2005,20, 롯데,강민호,10232
2016,26, 두산,박세혁,10891
2003,23, 두산,손시헌,10177
2021,25, 롯데,신윤후,14169
2021,27, KIA,이정훈,12916
2003,23, 현대,이택근,10493
2017,25, 삼성,권정웅,12529
2020,28, 삼성,이성곤,11206
2009,20, LG,김태군,10459
2015,24, LG,박지규,11346
2015,27, 두산,정진호,10645
2020,28, KT,강민국,11243
2022,28, 한화,김인환,12589
2011,27, 넥센,허도환,10684
2011,30, 넥센,허준,10393
2022,26, 키움,김주형,14214
2021,24, 키움,변상권,13223
2010,27, LG,이병규,10477
2020,23, SK,최지훈,14587
2017,24, 삼성,김성훈,12639
2020,29, KT,문상철,11333
2006,25, 현대,유한준,10627
2006,24, 삼성,조영훈,10330
2023,29, NC,천재환,13261
2015,26, LG,서상우,10859
2019,27, 롯데,강로한,11389
2011,30, 한화,이양기,10573
2022,27, 롯데,이호연,13151
2005,22, 롯데,최준석,10183
2020,28, LG,김호은,12554
2009,19, 삼성,김상수,10320
2014,27, 넥센,박헌도,10410
2010,24, 삼성,오정복,10340
2016,27, KT,유민상,10895
2017,28, LG,김재율,10929
2022,25, 롯데,황성빈,14642
2012,23, KIA,윤해진,10816
2016,30, KT,김종민,11327
2008,27, KIA,차일목,10005
2017,29, LG,백진우,10473
2012,27, LG,김용의,10466
2008,24, 한화,이여상,10560
2015,26, 삼성,박찬도,10930
2009,19, 롯데,장성우,10235
2019,27, 롯데,오윤석,11397
2014,24, 삼성,박해민,11190
2017,28, SK,조용호,12943
2010,26, 한화,정현석,10576
2013,29, NC,김종호,10333
2016,29, KT,이해창,10391
2015,27, 한화,송주호,10326
2016,27, SK,김민식,10707
2004,20, KIA,서동욱,10486
2016,25, NC,김준완,11182
2009,25, SK,김연훈,10089
2009,21, 롯데,김민성,10238
2016,27, SK,최정민,10808
2014,29, 한화,김회성,10554
2008,25, 한화,송광민,10555
2006,26, 두산,이종욱,10192
2011,24, SK,최윤석,10104
2016,25, 삼성,김재현,11289
2014,29, KIA,김다원,10626
2016,27, 롯데,김상호,10837
2018,29, NC,이원재,12999
2010,24, 롯데,전준우,10266
2013,24, SK,한유섬,10815
2011,25, 삼성,배영섭,10337
2017,24, 한화,정경운,12996
2011,22, 넥센,고종욱,10659
2015,25, NC,최재원,11141
2012,25, 한화,정범모,10772
2013,23, NC,권희동,11172
2005,23, SK,정근우,10103
2013,24, NC,노진혁,11165
2010,29, 삼성,이정식,10311
2012,30, LG,윤요섭,10081
2015,23, KIA,김호령,11298
2004,19, 한화,최진행,10578
2020,28, 롯데,김재유,11483
